club,ranking,expenditure,Numerical Expenditure
Rostov,255,€33.41m,33410000.0
Bristol City,258,€58.13m,58130000.0
Orlando City SC,264,€29.69m,29690000.0
Levante,266,€56.78m,56780000.0
Basel,274,€48.77m,48770000.0
Vancouver Whitecaps,275,€30.68m,30680000.0
Ludogorets,276,€29.45m,29450000.0
Parma,279,€200.78m,200780000.0
Puebla,280,€13.95m,13950000.0
Sampdoria,281,€210.96m,210960000.0
Portland Timbers,296,€37.75m,37750000.0
Granada,297,€53.22m,53220000.0
Los Angeles Galaxy,303,€33.40m,33400000.0
Tigre,313,€90.85m,90850000.0
Necaxa,316,€24.91m,24910000.0
Hull City,318,€39.23m,39230000.0
Fortuna Düsseldorf,319,€26.10m,26100000.0
Racing Club,332,€65.37m,65370000.0
Alavés,335,€35.70m,35700000.0
Tijuana,338,€47.32m,47320000.0
FC Juárez,354,€14.74m,14740000.0
Eibar,355,€44.05m,44050000.0
CA Independiente,357,€41.67m,41670000.0
Charlotte FC,361,€26.78m,26780000.0
Birmingham,362,€40.98m,40980000.0
Cardiff City,364,€87.34m,87340000.0
Chicago Fire,373,€37.35m,37350000.0
Troyes,375,€50.94m,50940000.0
Austin FC,381,€26.02m,26020000.0
Huddersfield Town,385,€122.67m,122670000.0
Dijon FCO,430,€40.97m,40970000.0
Derby County,439,€38.75m,38750000.0
Inter Miami CF,444,€40.21m,40210000.0
Reading,446,€36.15m,36150000.0
Pau,467,€63.32m,63320000.0
Hannover 96,470,€44.47m,44470000.0
Amiens,473,€44.22m,44220000.0
Benevento,497,€61.79m,61790000.0
Beijing Guoan,498,€111.34m,111340000.0
Brescia,518,€31.90m,31900000.0
Shenzhen FC,632,€61.27m,61270000.0
